epoch,train_loss,train_cls_acc,train_birads_acc,val_loss,val_cls_acc,val_dice,val_birads_acc
1,2.569108235919517,0.5966108054027014,0.4627772284220935,2.338369731607289,0.6438219109554777,0.6573843956589996,0.47217537942664417
2,2.2622302223468433,0.6492621310655328,0.5266280548100014,2.166929763218592,0.6795897948974488,0.6345517108474987,0.552557616638561
3,2.159149158978951,0.6685842921460731,0.5516315863822574,2.1076958101949077,0.6870935467733867,0.6628160730429206,0.5593029792017987
4,2.0962073308280136,0.6760255127563782,0.5651928238451759,2.0980376776842666,0.6900950475237618,0.6931187325921757,0.5694210230466554
5,2.0322363160442505,0.6910330165082541,0.5849696284785987,2.090933179068172,0.6908454227113556,0.6985630246029311,0.5536818437324339
6,2.028687820159059,0.6875937968984492,0.5838395253566888,2.006535703865154,0.6918459229614807,0.718559270205648,0.6003372681281619
7,1.9742443133974863,0.6998499249624812,0.5993784432829495,2.029244322130357,0.6768384192096047,0.7074161681787797,0.5739179314221473
8,1.9506878288105882,0.6986618309154577,0.5995197061731883,2.073406597326373,0.6738369184592297,0.7289197967611831,0.5733558178752108
9,1.9093417582838699,0.7092296148074037,0.6132222065263455,2.0189957302054387,0.6963481740870435,0.6872993430058439,0.5750421585160203
10,1.8748901306300714,0.7181090545272636,0.6159062014408815,2.0144023462317477,0.6955977988994497,0.6985509465968031,0.5862844294547499
